Tên sản phẩm,Giá bán,Giá vốn,Loại sản phẩm,Đơn vị tính,Danh mục sản phẩm,Thuế,,,,,,
Xoài Sấy Muối Ớt - Hộp thiếc 300g,150000,140000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Sữa Chua Sấy Giòn - Hộp 100g,110000,100000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Cam Sấy Dẻo - Túi 220g,150000,140000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Cam Sấy Dẻo - Hộp 300 g,185000,175000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Cam Sấy Dẻo - Hộp thiếc 300 g,200000,190000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Sữa Chua Sấy Giòn - Hộp 80g,110000,100000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Ổi Sấy Muối Ớt - Túi 220g,135000,125000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Ổi Sấy Muối Ớt - Hộp 300g,180000,170000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Khoai Lang Mật Sấy Dẻo - Túi 300g,85000,75000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Ổi Sấy Muối Ớt - Hộp thiếc 300g,190000,180000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Khoai Lang Vàng Sấy Giòn - Túi 250 g,85000,75000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Khoai Lang Tím Sấy Giòn - Túi 250 g,85000,75000,Storable Product,Túi,Trái cây sấy,10%,,,,,,
Hạt Điều DalatFarm - Hộp 200 g,150000,140000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
Hạt Điều DalatFarm - Hộp 500 g,290000,280000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
Hạt Điều DalatFarm - Túi 250 g,150000,140000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
Hạt Macca DalatFarm - Hộp 200 g,150000,140000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
Hạt Macca DalatFarm - Hộp 500 g,250000,240000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
Hạt Macca DalatFarm - Túi 250 g,135000,125000,Storable Product,Hộp,"Gạo, Ngũ cốc, Hạt",10%,,,,,,
